doc_id,item,category,amount,price,discount
RC7gdZvRYA,Apron,Textile,1,15.99,0
dUTRUnkiFJ,Bread Knife,Knives,2,22.99,0
dUTRUnkiFJ,Microwave,Appliances,1,89.99,0
dUTRUnkiFJ,Chef's Knife,Knives,2,45.99,0
EeiNR4VwT6,Dutch Oven,Cookware,3,79.99,0
EeiNR4VwT6,Spice Rack,Storage,3,21.99,6.38
EeiNR4VwT6,Food Containers,Storage,2,27.99,5.32
eiBRJBIsEF,Apron,Textile,1,15.99,3.36
eiBRJBIsEF,Loaf Pan,Bakeware,2,12.99,0
eiBRJBIsEF,Loaf Pan,Bakeware,3,12.99,0
YtyyGQgt5D,Oven Mitts,Textile,1,12.99,0.65
88oryegACr,Paring Knife,Knives,2,14.99,0
88oryegACr,Spice Rack,Storage,1,21.99,1.54
88oryegACr,Wok,Cookware,2,34.99,0
88oryegACr,Cake Pan,Bakeware,2,15.99,0
nZ5htDFNZ3,Mugs,Dishes,3,14.99,3.15
nZ5htDFNZ3,Sponges,Cleaning,1,3.99,0
nZ5htDFNZ3,Cake Pan,Bakeware,3,15.99,3.04
nZ5htDFNZ3,Toaster,Appliances,3,39.99,10.4
nZ5htDFNZ3,Mugs,Dishes,1,14.99,0
kAgOX1EZJ6,Glasses,Dishes,3,19.99,0
kAgOX1EZJ6,Kitchen Towels,Textile,1,9.99,1.3
kAgOX1EZJ6,Wok,Cookware,3,34.99,0
